Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber,COLIsEstimated
Florence,CO,1377.0,500.9083346089224,210.0,40.14772727272727,1392.9210315017863,48385,96.59451970943137,105.8,88,3533,6.0,T
Goodyear,AZ,224.5,691.0830182289351,1375.0,14.485097394977705,1393.206822406494,73978,107.04647350413305,107.0,4261,61721,97.0,T
Siloam Springs,AR,1198.0,518.9417645304931,713.0,21.540730337078653,1394.1208699391887,47951,92.40150490370176,92.1,712,15337,24.0,T
Nebraska City,NE,1277.0,510.2750309463023,562.0,24.51063829787234,1395.1964019449017,47321,92.73626403440407,93.6,282,6912,11.0,T
Silverthorne,CO,175.0,718.7660487537888,1389.0,14.415492957746478,1399.9807141528772,77264,107.49533889916182,105.8,284,4094,6.0,T
Soledad,CA,1372.0,501.69268636355304,280.0,35.2460024600246,1400.2799720055987,64266,128.09833937549064,146.9,813,28655,45.0,T
Aledo,IL,891.0,550.8751094406063,1081.0,16.99019607843137,1400.8718713715398,50992,92.56544564480419,90.5,204,3466,5.0,T
Newcastle,WY,443.0,618.0293452962513,1329.0,14.851694915254237,1400.889003454592,59336,96.00838609298947,93.6,236,3505,5.0,T
Burlington,CO,1286.0,509.5545062503057,558.0,24.65921787709497,1401.8416458359338,49316,96.78258046014565,105.8,179,4414,7.0,T
Pierre,SD,395.0,627.6435033408238,1350.0,14.724500525762355,1406.6005118725075,61193,97.49642858450953,96.2,951,14003,22.0,T
Norman,OK,548.0,598.8818650213652,1296.0,15.104821235102925,1407.0963008977033,55812,93.1936718404537,88.2,7384,111534,174.0,T
Columbia City,IN,1236.0,514.3071060447033,675.0,22.25392670157068,1408.3042995034843,47308,91.9839516973114,91.1,382,8501,13.0,T
Monahans,TX,273.0,672.1357125823795,1383.0,14.443946188340806,1409.6871993460109,64188,95.49857089632457,92.6,446,6442,10.0,T
Berne,IN,1409.0,496.6709908476753,97.0,61.81944444444444,1412.334946108748,45542,91.69450368396357,91.1,72,4451,7.0,T
Raleigh,NC,57.0,798.716148445336,1412.0,14.211221345613382,1413.1500274210096,79632,99.7,96.4,29533,419700,656.0,F
Conrad,MT,1340.0,504.7243562264359,452.0,27.566666666666666,1414.1796208402948,47955,95.01225650875033,100.8,90,2481,4.0,T
Santa Barbara,CA,528.0,602.4293109851072,1312.0,14.950782608695652,1414.2588164830368,80322,133.33016593873145,146.9,5750,85967,134.0,T
Red Wing,MN,818.0,559.5057848143031,1157.0,16.225103734439834,1416.9590678632887,53709,95.99364556673123,99.6,964,15641,24.0,T
Lebanon,PA,706.0,576.0796645702305,1230.0,15.663665594855306,1418.2157804791202,54958,95.4,100.5,1555,24357,38.0,F
Cambridge Springs,PA,1418.0,495.79160462402973,32.0,115.26086956521739,1418.3610259732886,46974,94.74545264964999,100.5,23,2651,4.0,T
Gonzales,CA,1279.0,510.2335301527141,618.0,23.48404255319149,1420.480552489192,65527,128.42550739538348,146.9,376,8830,14.0,T
Moundville,AL,589.0,592.9300037396001,1295.0,15.113636363636363,1422.6545610231599,55221,93.13240964653842,88.6,176,2660,4.0,T
Craig,CO,726.0,572.8952465241108,1224.0,15.715753424657533,1423.1134880957316,56549,98.70739955183078,105.8,584,9178,14.0,T
Preston,ID,1423.0,495.4943673208467,39.0,106.9375,1423.5343339730166,46392,93.62770408641165,97.1,48,5133,8.0,T
Worthington,MN,1271.0,511.1137235411183,642.0,22.962809917355372,1423.9399565992942,48424,94.74212444249575,99.6,484,11114,17.0,T
Castroville,TX,978.0,541.6784825736968,1036.5,17.320224719101123,1425.0671036831914,50409,93.06073920545981,92.6,178,3083,5.0,T
Nevada,IA,475.0,613.280682462121,1344.0,14.76355748373102,1425.4686948509252,57976,94.53420213277442,90.3,461,6806,11.0,T
Wahpeton,ND,1294.0,508.9358892110615,599.0,23.87421383647799,1425.916196696005,47891,94.10026098619085,97.8,318,7592,12.0,T
Lytle,TX,609.0,589.7572432293921,1291.0,15.15979381443299,1427.4319598495754,55724,94.48633423282193,92.6,194,2941,5.0,T
Ebensburg,PA,971.0,542.1944693128938,1049.0,17.25,1429.4201621636655,51940,95.79588678914772,100.5,168,2898,5.0,T
Palmyra,MO,1347.0,503.27221396933453,491.0,26.369230769230768,1433.6980156225368,46215,91.82903152053608,91.2,130,3428,5.0,T
Shippensburg,PA,1399.0,497.73886851047024,323.0,32.61046511627907,1435.8029112660274,47176,94.78062290208229,100.5,172,5609,9.0,T
Chariton,IA,1148.0,525.1568892065121,863.0,19.233480176211454,1436.2008912404976,48274,91.92300623331779,90.3,227,4366,7.0,T
Hanover,PA,455.0,616.216638744134,1363.0,14.619961612284069,1436.939107965261,60772,98.62116044749288,100.5,1042,15234,24.0,T
Concord,CA,67.0,786.3811809919814,1437.0,14.026992878474616,1438.5610866417874,127403,162.01176106387408,146.9,8706,122119,191.0,T
Valley City,ND,1420.0,495.53081847919066,233.0,38.55357142857143,1438.9888811245207,46509,93.85692729008963,97.8,168,6477,10.0,T
Holland,MI,277.0,671.2577962577963,1413.0,14.21114864864865,1439.8951350706066,64575,96.2,91.4,2368,33652,53.0,F
Charlotte,MI,586.0,593.7446315973275,1316.0,14.930743243243244,1440.5734969101716,55924,94.1886410821937,91.4,592,8839,14.0,T
Santa Rosa,CA,863.0,554.2695836273818,1154.0,16.24879301489471,1441.0013879243836,78540,141.7,146.9,9735,158182,247.0,F
Watertown,WI,1041.0,535.9217301750773,1001.0,17.6368501529052,1444.189045796983,52038,97.1,95.5,1308,23069,36.0,F
Eagar,AZ,830.0,558.0066709389912,1183.0,16.08823529411765,1445.1259460683696,55014,98.59021919473588,107.0,272,4376,7.0,T
Calistoga,CA,1182.0,520.8719034756207,832.0,19.597014925373134,1445.4577129753745,67119,128.85893739350348,146.9,268,5252,8.0,T
Aurora,CO,169.0,720.5982781383755,1436.0,14.030317487855656,1445.910439826755,77533,107.59531676970153,105.8,23056,323483,506.0,T
Williams,CA,1284.0,509.68792204118415,665.0,22.458715596330276,1445.98789759804,65446,128.40406289775058,146.9,218,4896,8.0,T
New Holstein,WI,351.5,639.1191813789451,1404.0,14.268518518518519,1447.3314236898195,62523,97.8268245135472,95.5,216,3082,5.0,T
Avalon,CA,751.0,568.7798776869205,1238.0,15.590909090909092,1447.9796269285007,74630,131.2106896318146,146.9,198,3087,5.0,T
Frederick,MD,107.0,754.7660365107185,1445.0,13.98294930875576,1448.956176010855,93715,124.16430452176175,121.4,4340,60686,95.0,T
Miles City,MT,1118.0,528.0600804469552,925.0,18.376975169300227,1451.0509984145974,50445,95.5289026152154,100.8,443,8141,13.0,T
Blanding,UT,1221.0,515.9241363352713,787.0,20.259493670886076,1452.6561878159607,49261,95.48109214256246,101.5,158,3201,5.0,T
Guymon,OK,795.0,563.5897789729837,1217.0,15.795804195804196,1453.6553924503564,51905,92.09712797592826,88.2,715,11294,18.0,T
Springfield,GA,901.0,549.8819605421226,1142.0,16.34027777777778,1454.6356932235644,50754,92.299809126239,89.8,144,2353,4.0,T
New Hampton,IA,1451.0,493.25699959427436,117.0,55.75409836065574,1455.7094490316397,45077,91.3864375712414,90.3,61,3401,5.0,T
Sunbury,PA,766.0,567.1218961625283,1239.0,15.579617834394904,1456.6663996948648,50247,88.6,100.5,628,9784,15.0,F
Livingston,MT,1315.0,507.3300899043096,627.0,23.242990654205606,1456.8301205013577,48229,95.0643396868038,100.8,321,7461,12.0,T
Union City,PA,1373.0,501.48476470964187,492.0,26.36,1458.4899725400926,47566,94.85033912753175,100.5,125,3295,5.0,T
Lexington,VA,1459.0,491.8244396144598,73.0,73.76595744680851,1460.8251093132264,46179,93.89326003441315,98.1,94,6934,11.0,T
London,OH,651.0,583.3010804459284,1310.0,14.95679012345679,1462.8400459380375,55046,94.36978919688924,92.9,648,9692,15.0,T
Manteca,CA,817.0,559.6539076168567,1214.0,15.819591261451727,1463.3130218787776,73151,130.70756588030423,146.9,4257,67344,105.0,T
Bellville,TX,1283.0,509.77479058903697,705.0,21.676190476190477,1463.9378402104373,47102,92.3976643599311,92.6,210,4552,7.0,T
Salem,OH,1134.0,526.8475750577368,929.0,18.32967032967033,1465.945769801871,45625,86.6,92.9,637,11676,18.0,F
Breckenridge,TX,1430.0,495.0087250631877,329.0,32.40462427745665,1467.35851106674,45618,92.15595138081027,92.6,173,5606,9.0,T
Beaver Dam,WI,761.0,567.7502691065662,1256.0,15.44331983805668,1468.5560935830813,52744,92.9,95.5,988,15258,24.0,F
Morrison,IL,1382.0,500.0106995739579,499.0,26.203703703703702,1469.3280777280477,45776,91.55004090713294,90.5,162,4245,7.0,T
Florence,AL,1353.0,502.8456221198157,576.0,24.349716446124763,1470.5050152923654,43647,86.8,88.6,1587,38643,60.0,F
Belle Fourche,SD,1471.0,490.85250342786793,53.0,85.72413793103448,1471.9544829919164,45777,93.26019462122811,96.2,58,4972,8.0,T
Midland,TX,66.0,788.0061349693252,1472.0,13.681121495327103,1473.478876672482,77067,97.8,92.6,8025,109791,172.0,F
Placerville,CA,912.0,548.1924044730497,1159.0,16.224358974358974,1474.7965961447023,61952,113.01141623724502,146.9,624,10124,16.0,T
Newport,NH,749.0,569.5589790668644,1272.0,15.268867924528301,1476.1385436333542,57575,101.08698504644394,112.6,424,6474,10.0,T
Petoskey,MI,1403.0,497.433487583429,464.0,27.14090909090909,1477.7364447018285,45666,91.80322825037176,91.4,220,5971,9.0,T
Ridgecrest,CA,1046.0,535.4891821184713,1044.0,17.280771789753825,1477.8538493369363,69348,129.50401673036504,146.9,1503,25973,41.0,T
Upper Sandusky,OH,1479.0,489.32477831463865,19.0,197.71875,1479.1220368853951,45101,92.16986753734305,92.9,32,6327,10.0,T
Kerrville,TX,1011.0,538.5694568823316,1080.0,16.997782705099777,1479.365066506574,50080,92.98707782261341,92.6,1353,22998,36.0,T
Grinnell,IA,1350.0,503.0382978722891,605.0,23.758441558441557,1479.3664184372985,46044,91.53179826417433,90.3,385,9147,14.0,T
Floresville,TX,710.0,575.6251063962359,1298.0,15.034615384615385,1479.494508269632,54113,94.00736590309685,92.6,520,7818,12.0,T
Rugby,ND,1427.0,495.1100748423839,391.0,29.837209302325583,1479.5979183548482,46466,93.8498373615044,97.8,86,2566,4.0,T
Everson,WA,713.0,575.1256539755875,1299.0,15.026666666666667,1481.813078630365,58320,101.40392729286168,112.8,150,2254,4.0,T
Minerva,OH,1392.0,498.598179714675,513.0,25.827814569536425,1483.5204750862051,46025,92.30880069866683,92.9,151,3900,6.0,T
Claremore,OK,733.0,571.4286984701927,1297.0,15.034745762711864,1489.797972880887,52751,92.31422947643858,88.2,1180,17741,28.0,T
Aztec,NM,927.0,546.4437081436994,1168.0,16.179138321995463,1491.158274630832,50541,92.49077123001503,90.6,441,7135,11.0,T
Lompoc,CA,963.0,543.2339681349241,1139.0,16.406474820143885,1491.5394731618737,61235,112.7230688652204,146.9,2502,41049,64.0,T
Montesano,WA,1157.5,523.7941145817963,942.0,18.215,1492.3706811647032,52136,99.53529172741094,112.8,200,3643,6.0,T
Martinsburg,PA,1454.0,492.6776647136867,343.0,31.925373134328357,1493.909301129088,46652,94.69071431746599,100.5,67,2139,3.0,T
Springdale,AR,572.5,595.5027434557692,1380.0,14.455137334689725,1494.0402437685539,56282,94.51173922959488,92.1,4915,71047,111.0,T
Winnsboro,TX,1463.0,491.427483817773,305.0,33.68103448275862,1494.4544154975085,45262,92.10311081580384,92.6,116,3907,6.0,T
Long Beach,CA,909.5,548.2578511389958,1186.0,16.04926570148943,1494.585644919688,71338,130.117607712861,146.9,28803,462267,723.0,T
Nantucket,MA,79.0,776.7858280832997,1494.0,13.514827995255041,1496.087230077177,108167,139.24945086459604,132.5,843,11393,18.0,T
Kewaunee,WI,1486.0,488.8950887732585,174.0,44.193548387096776,1496.152398654629,45469,93.0035932946092,95.5,62,2740,4.0,T
Rochester,NH,493.5,609.7132157762476,1415.0,14.205990783410138,1498.588419146498,65799,107.91794945141373,112.6,2170,30827,48.0,T
Lander,WY,520.0,604.56836221914,1406.0,14.246728971962616,1499.078383541034,57692,95.42675999159907,93.6,535,7622,12.0,T
Lexington,NE,825.0,558.6451557556647,1252.0,15.475482912332838,1499.376203626028,52429,93.85027232372697,93.6,673,10415,16.0,T
Layton,UT,173.0,719.1329553595353,1490.0,13.550185873605948,1500.0096666355187,74815,104.03500415663156,101.5,4842,65610,103.0,T
Ruidoso,NM,1111.0,528.9089817509808,1009.0,17.567467652495377,1500.800453091616,48712,92.09902210156532,90.6,541,9504,15.0,T
Greenfield,CA,1084.0,531.6525381353209,1041.0,17.30454042081949,1502.909511580787,59595,112.093887878386,146.9,903,15626,24.0,T
Grottoes,VA,926.0,546.5182946431114,1188.0,16.028985507246375,1506.2602696745341,51964,95.08190395334093,98.1,138,2212,3.0,T
Staunton,IL,1330.0,506.0090682072204,708.0,21.65948275862069,1506.7063416605108,46373,91.64460266354232,90.5,232,5025,8.0,T
Altoona,PA,1297.0,508.8876651982379,768.0,20.64924039320822,1507.3264410869995,46207,90.8,100.5,2238,46213,72.0,F
Amery,WI,643.0,585.3116154524587,1364.0,14.595744680851064,1507.9605432503863,55833,95.39021356485446,95.5,188,2744,4.0,T
Fort Collins,CO,384.0,630.3205128205128,1460.0,13.849510685040944,1509.6542650554134,68831,109.2,105.8,10014,138689,217.0,F
Effingham,IL,944.0,544.953146953124,1180.0,16.095730918499353,1511.1373200341523,50365,92.4207893496802,90.5,773,12442,19.0,T
Bend,OR,738.0,570.7937877480587,1319.0,14.917682355147196,1511.4248244620042,66155,115.9,127.5,5333,79556,124.0,F
Carthage,TX,1152.0,524.8190905765941,979.0,17.876344086021504,1511.8019050126904,48643,92.68527169344814,92.6,372,6650,10.0,T
South Lake Tahoe,CA,1336.0,505.33514651849146,709.0,21.655933762649493,1512.473801425995,56027,110.8709742158214,146.9,1087,23540,37.0,T
Palmdale,CA,1126.5,527.340355461379,1012.0,17.54738855025696,1514.313788486389,58996,111.87461643890956,146.9,8367,146819,230.0,T
Dubuque,IA,336.0,643.9732142857143,1477.0,13.64461247637051,1514.735950586768,57700,89.6,90.3,4232,57744,90.0,F
Oconto Falls,WI,1346.0,503.6300894484984,695.0,21.865079365079364,1514.8402556045307,46960,93.24303885699857,95.5,126,2755,4.0,T
Oak Island,NC,420.0,623.0339263819407,1456.0,13.91311475409836,1515.3666223062985,60648,97.34301364966238,96.4,610,8487,13.0,T
Blue Earth,MN,1497.0,487.9922752578791,260.0,36.58620689655172,1519.4107410440404,46027,94.31911596485226,99.6,87,3183,5.0,T
Tavares,FL,1466.0,491.2665981190292,404.0,29.291836734693877,1520.6485458514073,46667,94.99322807347271,101.5,490,14353,22.0,T
Woodland,CA,1030.0,537.3731077224411,1119.0,16.576774576774575,1520.8750770526815,69639,129.59152402536913,146.9,3367,55814,87.0,T
Cresco,IA,1144.0,525.4208038539878,1005.0,17.601895734597157,1522.7478451798906,48301,91.92822142882383,90.3,211,3714,6.0,T
Sierra Vista,AZ,428.0,621.8991416309012,1464.0,13.784797630799606,1525.2803021084353,57961,93.2,107.0,3039,41892,66.0,F
Gibson City,IL,1401.0,497.5872232969073,609.0,23.683823529411764,1527.6393553453643,45536,91.51360378244468,90.5,136,3221,5.0,T
Norfolk,NE,907.0,549.085085734369,1231.0,15.64029255319149,1529.0552638802824,51389,93.5902309771722,93.6,1504,23523,37.0,T
St. Anthony,ID,1522.0,486.1069398978503,148.0,49.18571428571428,1529.1788646198324,45441,93.47943069800422,97.1,70,3443,5.0,T
Lampasas,TX,1247.0,513.3555314448179,888.0,18.802380952380954,1530.866747956856,47466,92.46223541491588,92.6,420,7897,12.0,T
Athens,AL,1053.0,534.4836889829506,1114.0,16.637150466045274,1532.9073683690087,48928,91.54255033133619,88.6,1502,24989,39.0,T
Orange,VA,952.0,544.0721079117707,1202.0,15.882943143812708,1533.3323188402442,51695,95.01497916960504,98.1,299,4749,7.0,T
Bishop,CA,980.0,541.4480355884455,1181.0,16.09433962264151,1534.6533810603619,60979,112.62207264955362,146.9,212,3412,5.0,T
Madison,WI,186.0,709.5477386934673,1525.0,13.256761268781302,1536.3010772631776,70600,99.5,95.5,17970,238224,373.0,F
Ashland,OH,1223.0,515.8315151697564,934.0,18.29713804713805,1538.8583430582557,47770,92.60775775648226,92.9,1188,21737,34.0,T
Del Rio,TX,1394.0,498.5151149900512,652.0,22.82527881040892,1538.94119445806,45968,92.2098420243835,92.6,1614,36840,58.0,T
Powell,WY,508.0,607.8504563678217,1457.0,13.908878504672897,1543.0207386811105,58088,95.5629783468483,93.6,428,5953,9.0,T
Colonial Beach,VA,1501.0,487.7918010724594,358.0,31.29032258064516,1543.1023945286327,45769,93.82896534827408,98.1,124,3880,6.0,T
Sulphur Springs,TX,1419.0,495.7312200751407,607.0,23.72072072072072,1543.3761693119407,45690,92.16688025635044,92.6,666,15798,25.0,T
Mount Pleasant,IA,861.0,554.5345440681924,1282.0,15.219130434782608,1544.2943372297912,51344,92.58936264516302,90.3,575,8751,14.0,T
Paris,IL,1481.0,489.164011935563,451.0,27.601307189542485,1548.1479257486992,44707,91.39470383992435,90.5,306,8446,13.0,T
Storm Lake,IA,768.0,567.0152095376636,1345.0,14.741538461538461,1548.8218102803175,52692,92.92872415708977,90.3,650,9582,15.0,T
Auburn,CA,1278.0,510.2469966930153,875.0,19.052482269503546,1548.8411797211488,65529,128.42603763413197,146.9,705,13432,21.0,T
Lancaster,CA,1126.5,527.340355461379,1063.0,17.151165474267252,1548.8612752599893,58996,111.87461643890956,146.9,8666,148632,232.0,T
Chandler,OK,1312.0,507.4552397068044,824.0,19.684931506849313,1549.2966145964433,46136,90.91639299390482,88.2,146,2874,4.0,T
St. Marys,GA,641.5,585.6481131295201,1414.0,14.207612456747405,1552.713189871201,54655,93.3239581494437,89.8,1156,16424,26.0,T
Salida,CO,1052.0,534.6130037696631,1144.0,16.321100917431192,1554.1685880238347,52083,97.4218727055877,105.8,327,5337,8.0,T
Jasper,TN,970.0,542.361566622584,1219.0,15.77319587628866,1557.8385667327664,50000,92.18942321330407,90.0,194,3060,5.0,T
Hooks,TX,1554.0,482.2375936227497,112.0,57.92307692307692,1558.0308084245319,44355,91.97748285609299,92.6,52,3012,5.0,T
Davis,CA,1142.0,525.6293341302714,1061.0,17.156953103822175,1558.8088401083694,67839,129.0624316320726,146.9,3689,63292,99.0,T
Los Banos,CA,881.0,552.1629295207409,1289.0,15.171776564468711,1561.3077851596079,62533,113.25099288044666,146.9,2381,36124,56.0,T
Decatur,IN,1560.0,481.9141655179725,82.0,70.15942028985508,1562.1536416114773,44092,91.49347156585219,91.1,138,9682,15.0,T
Morris,IL,191.0,706.5101194661183,1551.0,12.971349353049908,1562.7162250389545,67135,95.0234089367768,90.5,1082,14035,22.0,T
Albia,IA,1450.0,493.3078590225543,583.0,24.253424657534246,1562.8144483591134,45082,91.38715140141083,90.3,146,3541,6.0,T
Auburn,IN,1202.0,518.5230795066492,1000.0,17.638666666666666,1563.5869019661172,47736,92.0614759239234,91.1,750,13229,21.0,T
Charleston,SC,388.0,630.0589970501475,1515.0,13.326266863167442,1563.895456864045,64077,101.7,94.8,8821,117551,184.0,F
Kingston,NY,997.0,539.8020735155513,1205.0,15.858789625360231,1563.9801789025332,57273,106.1,143.7,1388,22012,34.0,F
Ligonier,IN,1563.0,481.7397385458871,92.0,63.888888888888886,1565.7052723932431,44075,91.49131050105747,91.1,72,4600,7.0,T
Chino Valley,AZ,1351.0,503.0045607481597,792.0,20.143122676579925,1566.0348016567193,48811,97.03888157077427,107.0,538,10837,17.0,T
Crestview,FL,592.0,592.531041069723,1450.0,13.941296928327645,1566.1941131290207,62038,104.7,101.5,1465,20424,32.0,F
Mesa,AZ,489.0,609.9233061784518,1489.0,13.558294151118565,1567.2402496107609,63396,103.94093709455916,107.0,33391,452725,708.0,T
Morris,MN,1410.0,496.51148515298445,685.0,22.06086956521739,1567.585723333815,46902,94.46307165593284,99.6,230,5074,8.0,T
Allegan,MI,1374.0,501.46173323367475,755.0,20.829694323144103,1567.7694345789498,46067,91.8654344827811,91.4,229,4770,7.0,T
McCook,NE,1263.0,512.0279512998261,931.0,18.317733990147783,1569.053855034938,47500,92.76837305349687,93.6,406,7437,12.0,T
Fairmount,IN,1472.0,490.1263956705594,544.0,25.11111111111111,1569.3055789106213,44896,91.60086132185593,91.1,108,2712,4.0,T
Kaufman,TX,1475.0,489.883838090723,540.0,25.236263736263737,1570.7402713370534,45109,92.08101286992476,92.6,364,9186,14.0,T
Wauseon,OH,666.0,581.0481873300232,1423.0,14.135294117647058,1571.1413049118148,54789,94.29338425744196,92.9,510,7209,11.0,T
Nampa,ID,1072.0,532.7772905745745,1150.0,16.279056275381937,1572.1590250353174,50285,94.38277661153698,97.1,5171,84179,132.0,T
Fairfield,CA,426.0,622.1230402629111,1514.0,13.340417360133145,1572.791149517316,83858,134.7932717048405,146.9,7811,104202,163.0,T
Delphos,OH,977.0,541.8423890639538,1233.0,15.627906976744185,1573.1554277947237,50482,93.16731399920356,92.9,430,6720,11.0,T
St. Maries,ID,1573.0,480.3711531002723,77.0,72.02777777777777,1574.8834877539355,44865,93.39653247378682,97.1,36,2593,4.0,T
Lacey,WA,357.0,637.4611981439804,1535.0,13.12937595129376,1575.9676392616695,69550,109.10467994365843,112.8,3285,43130,67.0,T
Algoma,WI,911.0,548.2267114982014,1286.0,15.194174757281553,1575.9812816147278,51657,94.22561673222935,95.5,206,3130,5.0,T
Cedar City,UT,1146.0,525.2905925144405,1084.0,16.979710144927537,1577.4574479205453,50270,95.6994104146612,101.5,1725,29290,46.0,T
Edinboro,PA,1400.0,497.7292404394405,728.0,21.321428571428573,1577.9683140038014,47175,94.78044721332753,100.5,308,6567,10.0,T
Ames,IA,1120.0,527.8469945355191,1112.0,16.666762755837418,1578.2724733074451,48298,91.5,90.3,3469,57817,90.0,F
Lindale,TX,282.0,669.2620561843014,1556.0,12.958762886597938,1581.3475266366972,63858,95.41553926436072,92.6,388,5028,8.0,T
Barnesville,OH,1582.0,479.33141221064926,34.0,113.91428571428571,1582.3653181234731,44116,92.03653020889975,92.9,35,3987,6.0,T
Yelm,WA,563.0,597.3358904553884,1479.0,13.610655737704919,1582.5327800712375,61219,102.48672644352365,112.8,488,6642,10.0,T
Laramie,WY,1395.0,498.4221781525703,748.0,20.91561181434599,1582.8862877667493,46121,92.5340043473789,93.6,1422,29742,47.0,T
Fitchburg,MA,810.5,560.6284453415266,1360.0,14.650174216027875,1583.1962133608076,60644,108.1714645482474,132.5,2870,42046,66.0,T
Marietta,OH,1370.0,501.7067045308384,799.0,20.067335243553007,1585.9700501585774,46337,92.35874183369978,92.9,698,14007,22.0,T
Portage,WI,1588.0,479.1814558042059,31.0,118.25301204819277,1588.3025530420834,44500,92.86669895293852,95.5,83,9815,15.0,T
New London,WI,1187.0,520.4368459338218,1056.0,17.178391959798994,1588.7432139902282,48695,93.5656273771823,95.5,398,6837,11.0,T
Elk City,OK,1581.0,479.4652387911987,195.0,41.659574468085104,1592.980225865971,43411,90.54045317121512,88.2,282,11748,18.0,T
Perry,IA,1544.0,483.63403513754025,393.0,29.806853582554517,1593.2309939239822,44136,91.25908598936425,90.3,321,9568,15.0,T
La Crosse,WI,590.0,592.8540305010894,1480.0,13.609146503589471,1593.2670836994027,54424,91.8,95.5,3761,51184,80.0,F
Menomonie,WI,1461.0,491.6423299412324,637.0,23.065502183406114,1593.8287235459147,45745,93.04528356105556,95.5,687,15846,25.0,T
Fort Wayne,IN,503.0,608.5714285714286,1513.0,13.34279929394663,1594.4208980065457,52824,86.8,91.1,19262,257009,402.0,F
Sheridan,AR,1075.0,532.5365328620281,1178.0,16.103448275862068,1594.7755327945058,49356,92.68096544427566,92.1,290,4670,7.0,T
Frankfort,KY,490.0,609.8751418842226,1519.0,13.28099173553719,1596.0767525404285,53730,88.1,93.9,2057,27319,43.0,F
Helena,MT,667.0,581.0076775431862,1458.0,13.904328018223234,1603.325606356987,60541,104.2,100.8,2195,30520,48.0,F
Eagle Lake,TX,1594.0,478.1042414419973,190.0,42.30232558139535,1605.2837755362757,43950,91.9255597219627,92.6,86,3638,6.0,T
Oberlin,OH,1324.0,506.4760188765415,912.0,18.564835164835166,1607.7064408653714,46818,92.43873007818036,92.9,455,8447,13.0,T
Momence,IL,1344.0,503.733367750743,885.0,18.8875,1609.2112974994925,46146,91.60798738834774,90.5,160,3022,5.0,T
Front Royal,VA,618.0,587.7742583807809,1486.0,13.571428571428571,1609.3849756972381,56686,96.44178728779376,98.1,1085,14725,23.0,T
Denver,CO,223.0,691.6413916146298,1594.0,12.633209855989344,1609.5232213298445,77533,112.1,105.8,48052,607051,949.0,F
Port Orange,FL,1311.0,507.5181888986475,935.0,18.29567228278824,1610.262711485303,48367,95.3010178905312,101.5,3027,55381,87.0,T
Easton,MD,619.0,587.6847397457256,1487.0,13.569395017793594,1610.692397697338,61909,105.34389582208016,121.4,1124,15252,24.0,T
Torrington,WY,1123.0,527.5735125679419,1155.0,16.24581005586592,1610.9481680054141,49106,93.07897161284427,93.6,358,5816,9.0,T
Bloomfield,NM,870.0,553.6219946959794,1356.0,14.688976377952756,1611.0977623968074,51304,92.6697286081878,90.6,508,7462,12.0,T
Twin Falls,ID,797.0,563.234649122807,1403.0,14.268725361366624,1613.5730538156615,51367,91.2,97.1,3044,43434,68.0,F
Pearsall,TX,1292.0,509.25204477364684,969.0,17.981042654028435,1615.0,47049,92.38843610517542,92.6,422,7588,12.0,T
King City,CA,1470.0,490.9142091657412,671.0,22.293333333333333,1615.902534189485,54152,110.30847954477792,146.9,525,11704,18.0,T
Junction City,KS,1023.0,538.0160579865144,1251.0,15.478197674418604,1616.0228958774069,48983,91.04375096779691,86.9,1376,21298,33.0,T
Richland Center,WI,1503.0,487.61803995486264,596.0,23.889423076923077,1616.8565180621315,45341,92.98466480894982,95.5,208,4969,8.0,T
Centralia,MO,1245.0,513.3885892958033,1034.0,17.32075471698113,1618.3883959050127,47232,92.00048654136712,91.2,212,3672,6.0,T
Hays,KS,906.0,549.1690533261683,1342.0,14.774820143884892,1619.1973320136121,50133,91.28882936202976,86.9,1390,20537,32.0,T
Meadville,PA,1331.0,505.93220338983053,924.0,18.424791086350975,1620.2891717221344,44775,88.5,100.5,718,13229,21.0,F
Mount Morris,IL,1571.0,480.4559446601244,397.0,29.471153846153847,1620.3857565407072,43858,91.2841239398656,90.5,104,3065,5.0,T
Fayetteville,AR,421.0,622.5884955752211,1565.0,12.869416923826538,1620.6375288755964,56282,90.4,92.1,6157,79237,124.0,F
Watertown,SD,1017.0,538.2770368324034,1262.0,15.408987052551408,1620.7816015737592,50711,94.209852046483,96.2,1313,20232,32.0,T
Muleshoe,TX,866.0,553.9831211215504,1372.0,14.510344827586207,1622.4487665254642,51727,93.37288091968868,92.6,290,4208,7.0,T
Fort Morgan,CO,1196.0,519.1053550888773,1098.0,16.795417348608837,1623.58245863892,50358,97.0092092218507,105.8,611,10262,16.0,T
Montevideo,MN,1422.0,495.5035800248046,795.0,20.109375,1629.1436400759756,46798,94.4453317525119,99.6,256,5148,8.0,T
Narrows,VA,1613.0,475.6701524060662,232.0,38.57142857142857,1629.5990304366287,44548,93.65313290031834,98.1,56,2160,3.0,T
Albert Lea,MN,1431.0,494.8924049126225,780.0,20.333725029377202,1629.7732971183445,46735,94.43466809366667,99.6,851,17304,27.0,T
Traverse City,MI,762.0,567.5301204819277,1441.0,13.998001998001998,1630.0690169437612,56526,99.6,91.4,1001,14012,22.0,F
Plainwell,MI,694.5,577.4452190354923,1478.0,13.623655913978494,1633.038349212902,54069,93.63485611728078,91.4,279,3801,6.0,T
