,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
530,"Castle Rock, WA Urban Cluster (2010)",51667
531,"Castroville, TX Urban Cluster (2010)",50409
532,"Catskill, NY Urban Cluster (2010)",35519
533,"Cazenovia, NY Urban Cluster (2010)",64643
534,"Cedar City, UT Urban Cluster (2010)",50270
535,"Cedaredge, CO Urban Cluster (2010)",40057
536,"Cedar Rapids, IA Urbanized Area (2010)",62454
537,"Cedar Springs, MI Urban Cluster (2010)",49128
538,"Cedartown, GA Urban Cluster (2010)",39171
539,"Cedarville, OH Urban Cluster (2010)",45000
540,"Celina, OH Urban Cluster (2010)",49226
541,"Center, TX Urban Cluster (2010)",34278
542,"Centerville, IA Urban Cluster (2010)",33771
543,"Central City, NE Urban Cluster (2010)",47576
544,"Central City&Greenville, KY Urban Cluster (2010)",35788
545,"Centralia, IL Urban Cluster (2010)",38965
546,"Centralia, MO Urban Cluster (2010)",47232
547,"Centralia, WA Urban Cluster (2010)",50330
548,"Centre, AL Urban Cluster (2010)",40028
549,"Centreville, MD Urban Cluster (2010)",89699
550,"Century, FL&AL Urban Cluster (2010)",36650
551,"Chadron, NE Urban Cluster (2010)",47488
552,"Chaffee, MO Urban Cluster (2010)",43450
553,"Chambersburg, PA Urbanized Area (2010)",59183
554,"Champaign, IL Urbanized Area (2010)",47787
555,"Chandler, OK Urban Cluster (2010)",46136
556,"Chanute, KS Urban Cluster (2010)",36650
557,"Chaparral, NM Urban Cluster (2010)",20717
558,"Chardon, OH Urban Cluster (2010)",65457
559,"Chariton, IA Urban Cluster (2010)",48274
560,"Charles City, IA Urban Cluster (2010)",41549
561,"Charleston, IL Urban Cluster (2010)",40799
562,"Charleston, MS Urban Cluster (2010)",27434
563,"Charleston, MO Urban Cluster (2010)",29740
564,"Charleston, WV Urbanized Area (2010)",47372
565,"Charleston&North Charleston, SC Urbanized Area (2010)",64077
566,"Charlestown, IN Urban Cluster (2010)",42691
567,"Charlestown, NH Urban Cluster (2010)",45743
568,"Charlestown, RI Urban Cluster (2010)",75139
569,"Charles Town&Ranson, WV Urban Cluster (2010)",77847
570,"Charlevoix, MI Urban Cluster (2010)",45307
571,"Charlotte, MI Urban Cluster (2010)",55924
572,"Charlotte, NC&SC Urbanized Area (2010)",70486
573,"Charlottesville, VA Urbanized Area (2010)",65458
574,"Chase City, VA Urban Cluster (2010)",30083
575,"Chatfield, MN Urban Cluster (2010)",68500
576,"Chattahoochee, FL Urban Cluster (2010)",27054
577,"Chattanooga, TN&GA Urbanized Area (2010)",52592
578,"Cheboygan, MI Urban Cluster (2010)",35013
579,"Checotah, OK Urban Cluster (2010)",36552
580,"Chelan, WA Urban Cluster (2010)",52629
581,"Chelsea, MI Urban Cluster (2010)",82074
582,"Cheney, WA Urban Cluster (2010)",40717
583,"Cheraw, SC Urban Cluster (2010)",38787
584,"Cherokee, IA Urban Cluster (2010)",45267
585,"Cherokee Village, AR Urban Cluster (2010)",33190
586,"Cherryville, NC Urban Cluster (2010)",44334
587,"Chesapeake Beach, MD Urban Cluster (2010)",106745
588,"Chesnee, SC Urban Cluster (2010)",38179
589,"Chester, IL Urban Cluster (2010)",47409
590,"Chester, NY Urban Cluster (2010)",92121
591,"Chester, SC Urban Cluster (2010)",28839
592,"Chestertown, MD Urban Cluster (2010)",53875
593,"Chetek, WI Urban Cluster (2010)",50060
594,"Cheyenne, WY Urbanized Area (2010)",61671
595,"Chicago, IL&IN Urbanized Area (2010)",71432
596,"Chickasha, OK Urban Cluster (2010)",42008
597,"Chico, CA Urbanized Area (2010)",54854
598,"Childress, TX Urban Cluster (2010)",38462
599,"Chillicothe, MO Urban Cluster (2010)",41019
600,"Chillicothe, OH Urban Cluster (2010)",45727
601,"Chilton, WI Urban Cluster (2010)",52880
602,"Chinle, AZ Urban Cluster (2010)",31445
603,"Chino Valley, AZ Urban Cluster (2010)",48811
604,"Chipley, FL Urban Cluster (2010)",29653
605,"Chisholm, MN Urban Cluster (2010)",39306
606,"Chittenango, NY Urban Cluster (2010)",76506
607,"Chowchilla, CA Urban Cluster (2010)",53302
608,"Christopher, IL Urban Cluster (2010)",35147
609,"Church Point, LA Urban Cluster (2010)",34091
610,"Churchville, NY Urban Cluster (2010)",69333
611,"Cincinnati, OH&KY&IN Urbanized Area (2010)",64039
612,"Circleville, OH Urban Cluster (2010)",42305
613,"Cisco, TX Urban Cluster (2010)",40135
614,"Clanton, AL Urban Cluster (2010)",29986
615,"Clare, MI Urban Cluster (2010)",43173
616,"Claremont, NH Urban Cluster (2010)",45590
617,"Claremore, OK Urban Cluster (2010)",52751
618,"Clarinda, IA Urban Cluster (2010)",48476
619,"Clarion, IA Urban Cluster (2010)",41535
620,"Clarion, PA Urban Cluster (2010)",34814
621,"Clarksburg, WV Urban Cluster (2010)",51433
622,"Clarksdale, MS Urban Cluster (2010)",29215
623,"Clarksville, AR Urban Cluster (2010)",33740
624,"Clarksville, TN&KY Urbanized Area (2010)",52779
625,"Clarksville, TX Urban Cluster (2010)",31497
626,"Claxton, GA Urban Cluster (2010)",39261
627,"Clay Center, KS Urban Cluster (2010)",44214
628,"Clayton, GA Urban Cluster (2010)",31864
629,"Clearfield, PA Urban Cluster (2010)",44545
630,"Clearlake, CA Urban Cluster (2010)",31628
631,"Clear Lake, IA Urban Cluster (2010)",59630
632,"Clearlake Riviera, CA Urban Cluster (2010)",79730
633,"Clearwood, WA Urban Cluster (2010)",71970
634,"Cleburne, TX Urban Cluster (2010)",50052
635,"Cle Elum, WA Urban Cluster (2010)",49044
636,"Cleveland, GA Urban Cluster (2010)",43897
637,"Cleveland, MS Urban Cluster (2010)",30819
638,"Cleveland, OH Urbanized Area (2010)",56354
639,"Cleveland, OK Urban Cluster (2010)",41929
640,"Cleveland, TN Urbanized Area (2010)",47869
641,"Cleveland, TX Urban Cluster (2010)",41307
642,"Clewiston, FL Urban Cluster (2010)",41637
643,"Clifton, AZ Urban Cluster (2010)",70000
644,"Clifton, TX Urban Cluster (2010)",47442
645,"Clifton Forge, VA Urban Cluster (2010)",36397
646,"Clifton Springs, NY Urban Cluster (2010)",53031
647,"Clinton, IL Urban Cluster (2010)",48283
648,"Clinton, IN Urban Cluster (2010)",39563
649,"Clinton, IA&IL Urban Cluster (2010)",44143
650,"Clinton, MO Urban Cluster (2010)",40461
651,"Clinton, NC Urban Cluster (2010)",32956
652,"Clinton, OK Urban Cluster (2010)",47442
653,"Clinton, SC Urban Cluster (2010)",32223
654,"Clintonville, WI Urban Cluster (2010)",44440
655,"Cloquet, MN Urban Cluster (2010)",56374
656,"Clover, SC Urban Cluster (2010)",49583
657,"Cloverdale, CA Urban Cluster (2010)",70383
658,"Clovis, NM Urban Cluster (2010)",43127
659,"Clyde, OH Urban Cluster (2010)",54156
660,"Clyde, TX Urban Cluster (2010)",52179
661,"Coalinga, CA Urban Cluster (2010)",62522
662,"Coamo, PR Urban Cluster (2010)",22487
663,"Cobleskill, NY Urban Cluster (2010)",41713
664,"Cochran, GA Urban Cluster (2010)",37273
665,"Coco&Salinas, PR Urban Cluster (2010)",19995
666,"Cody, WY Urban Cluster (2010)",60279
667,"Coeburn, VA Urban Cluster (2010)",32824
668,"Coeur d'Alene, ID Urbanized Area (2010)",53924
669,"Coffeyville, KS&OK Urban Cluster (2010)",33343
670,"Cokato, MN Urban Cluster (2010)",53250
671,"Colby, KS Urban Cluster (2010)",56196
672,"Colchester, CT Urban Cluster (2010)",96992
673,"Cold Spring, MN Urban Cluster (2010)",63750
674,"Cold Spring, NY Urban Cluster (2010)",107102
675,"Coldwater, MI Urban Cluster (2010)",43744
676,"Coldwater, OH Urban Cluster (2010)",59094
677,"Coleman, TX Urban Cluster (2010)",42214
678,"Colfax, CA Urban Cluster (2010)",62783
679,"Colfax, WA Urban Cluster (2010)",50216
680,"College Station&Bryan, TX Urbanized Area (2010)",44937
681,"Collinsville, OK Urban Cluster (2010)",51224
682,"Colonial Beach, VA Urban Cluster (2010)",45769
683,"Colorado City, AZ&UT Urban Cluster (2010)",49452
684,"Colorado City, TX Urban Cluster (2010)",41854
685,"Colorado Springs, CO Urbanized Area (2010)",65817
686,"Columbia, KY Urban Cluster (2010)",39010
687,"Columbia, MS Urban Cluster (2010)",28224
688,"Columbia, MO Urbanized Area (2010)",49705
689,"Columbia, SC Urbanized Area (2010)",57469
690,"Columbia, TN Urban Cluster (2010)",49558
691,"Columbia City, IN Urban Cluster (2010)",47308
692,"Columbia Falls, MT Urban Cluster (2010)",45325
693,"Columbiana, AL Urban Cluster (2010)",32863
694,"Columbiana, OH Urban Cluster (2010)",48810
695,"Columbus, GA&AL Urbanized Area (2010)",45467
696,"Columbus, IN Urbanized Area (2010)",59482
697,"Columbus, KS Urban Cluster (2010)",35019
698,"Columbus, MS Urban Cluster (2010)",38026
699,"Columbus, NE Urban Cluster (2010)",58887
700,"Columbus, OH Urbanized Area (2010)",65224
701,"Columbus, TX Urban Cluster (2010)",51711
702,"Columbus, WI Urban Cluster (2010)",63946
703,"Columbus AFB, MS Urban Cluster (2010)",56615
704,"Colusa, CA Urban Cluster (2010)",51768
705,"Colville, WA Urban Cluster (2010)",45867
706,"Comanche, TX Urban Cluster (2010)",46827
707,"Comfort, TX Urban Cluster (2010)",67039
708,"Commerce, GA Urban Cluster (2010)",48091
709,"Commerce, TX Urban Cluster (2010)",26760
710,"Concord, CA Urbanized Area (2010)",127403
711,"Concord, NH Urban Cluster (2010)",65946
712,"Concord, NC Urbanized Area (2010)",54236
713,"Concordia, KS Urban Cluster (2010)",43074
714,"Conesus Lake, NY Urban Cluster (2010)",75000
715,"Conneaut, OH Urban Cluster (2010)",45616
716,"Connell, WA Urban Cluster (2010)",50337
717,"Connersville, IN Urban Cluster (2010)",36590
718,"Conrad, MT Urban Cluster (2010)",47955
719,"Conroe&The Woodlands, TX Urbanized Area (2010)",84244
720,"Constantine, MI Urban Cluster (2010)",42690
721,"Conway, AR Urbanized Area (2010)",45994
722,"Cookeville, TN Urban Cluster (2010)",40124
723,"Coolidge, AZ Urban Cluster (2010)",47397
724,"Coopersville, MI Urban Cluster (2010)",56922
725,"Coos Bay, OR Urban Cluster (2010)",48700
726,"Coquille, OR Urban Cluster (2010)",34146
727,"Corcoran, CA Urban Cluster (2010)",38644
728,"Cordele, GA Urban Cluster (2010)",21805
729,"Corinth, MS Urban Cluster (2010)",37194
730,"Corinth, NY Urban Cluster (2010)",57708
731,"Cornelia&Baldwin, GA Urban Cluster (2010)",42212
732,"Corning, AR Urban Cluster (2010)",27958
733,"Corning, CA Urban Cluster (2010)",42868
734,"Corning, NY Urban Cluster (2010)",57728
735,"Corona de Tucson, AZ Urban Cluster (2010)",95625
736,"Corpus Christi, TX Urbanized Area (2010)",56749
737,"Corry, PA Urban Cluster (2010)",40568
738,"Corsicana, TX Urban Cluster (2010)",43952
739,"Cortez, CO Urban Cluster (2010)",41300
740,"Cortland, NY Urban Cluster (2010)",48487
741,"Corvallis, OR Urbanized Area (2010)",54606
742,"Corydon, IN Urban Cluster (2010)",38397
743,"Coshocton, OH Urban Cluster (2010)",40149
744,"Cottage Grove, OR Urban Cluster (2010)",46473
745,"Cottonport, LA Urban Cluster (2010)",18750
746,"Cottonwood, CA Urban Cluster (2010)",40597
747,"Cottonwood&Verde Village, AZ Urban Cluster (2010)",47792
748,"Cotulla, TX Urban Cluster (2010)",52511
749,"Country Lakes, MD Urban Cluster (2010)",109500
750,"Covington, IN Urban Cluster (2010)",52708
751,"Covington, OH Urban Cluster (2010)",50516
752,"Covington, TN Urban Cluster (2010)",32019
753,"Covington, VA Urban Cluster (2010)",42164
754,"Coxsackie, NY Urban Cluster (2010)",54423
755,"Cozad, NE Urban Cluster (2010)",46761
756,"Craig, CO Urban Cluster (2010)",56549
757,"Crane, TX Urban Cluster (2010)",66375
758,"Crawfordsville, IN Urban Cluster (2010)",45378
759,"Crawfordville, FL Urban Cluster (2010)",62652
760,"Crescent City, CA Urban Cluster (2010)",39849
761,"Crescent City, FL Urban Cluster (2010)",29000
762,"Cresco, IA Urban Cluster (2010)",48301
763,"Cresson, PA Urban Cluster (2010)",48255
764,"Creston, IA Urban Cluster (2010)",44591
765,"Crestview, FL Urban Cluster (2010)",62038
766,"Creswell, OR Urban Cluster (2010)",58151
767,"Crete, NE Urban Cluster (2010)",45717
768,"Crewe, VA Urban Cluster (2010)",42364
769,"Crisfield, MD Urban Cluster (2010)",31410
770,"Crittenden, KY Urban Cluster (2010)",52619
771,"Crockett, TX Urban Cluster (2010)",26437
772,"Crooked Lake Park, FL Urban Cluster (2010)",47589
773,"Crookston, MN Urban Cluster (2010)",53797
774,"Crooksville, OH Urban Cluster (2010)",33937
775,"Crosby, MN Urban Cluster (2010)",43136
776,"Cross City, FL Urban Cluster (2010)",33313
777,"Crossett, AR Urban Cluster (2010)",41358
778,"Crossville, TN Urban Cluster (2010)",39258
779,"Crowley, LA Urban Cluster (2010)",26791
780,"Crozet, VA Urban Cluster (2010)",86897
781,"Crystal City, TX Urban Cluster (2010)",34622
782,"Crystal River, FL Urban Cluster (2010)",34507
783,"Crystal Springs, MS Urban Cluster (2010)",35944
784,"Cuba, MO Urban Cluster (2010)",21036
785,"Cuero, TX Urban Cluster (2010)",50190
786,"Cullman, AL Urban Cluster (2010)",48628
787,"Cullowhee, NC Urban Cluster (2010)",35908
788,"Culpeper, VA Urban Cluster (2010)",66888
789,"Cumberland, KY Urban Cluster (2010)",28910
790,"Cumberland, MD&WV&PA Urbanized Area (2010)",43980
791,"Curwensville, PA Urban Cluster (2010)",35270
792,"Cushing, OK Urban Cluster (2010)",42988
793,"Cut Bank, MT Urban Cluster (2010)",39722
794,"Cuthbert, GA Urban Cluster (2010)",26890
795,"Cynthiana, KY Urban Cluster (2010)",33732
796,"Dahlgren, VA&MD Urban Cluster (2010)",66360
797,"Dahlonega, GA Urban Cluster (2010)",27360
798,"Daingerfield, TX Urban Cluster (2010)",31373
799,"Dalhart, TX Urban Cluster (2010)",58172
800,"Dallas, OR Urban Cluster (2010)",57585
801,"Dallas&Fort Worth&Arlington, TX Urbanized Area (2010)",67583
802,"Dalton, GA Urbanized Area (2010)",47941
803,"Dalton, OH Urban Cluster (2010)",54231
804,"Danbury, CT&NY Urbanized Area (2010)",87903
805,"Dandridge, TN Urban Cluster (2010)",53700
806,"Dansville, NY Urban Cluster (2010)",43828
807,"Danville, IL Urbanized Area (2010)",39375
808,"Danville, KY Urban Cluster (2010)",40385
809,"Danville, VA&NC Urban Cluster (2010)",38870
810,"Daphne&Fairhope, AL Urbanized Area (2010)",71474
811,"Darbydale, OH Urban Cluster (2010)",63750
812,"Darien, GA Urban Cluster (2010)",38717
813,"Davenport, IA&IL Urbanized Area (2010)",55614
814,"David City, NE Urban Cluster (2010)",53015
815,"Davis, CA Urbanized Area (2010)",67839
816,"Davis, OK Urban Cluster (2010)",45650
817,"Davis Junction, IL Urban Cluster (2010)",71250
818,"Dawson, GA Urban Cluster (2010)",27472
819,"Dayton, NV Urban Cluster (2010)",62143
820,"Dayton, OH Urbanized Area (2010)",54885
821,"Dayton, TN Urban Cluster (2010)",35579
822,"Dayton, TX Urban Cluster (2010)",49821
823,"Dayton, WA Urban Cluster (2010)",50244
824,"Decatur, AL Urbanized Area (2010)",47487
825,"Decatur, IL Urbanized Area (2010)",47180
826,"Decatur, IN Urban Cluster (2010)",44092
827,"Decatur, TX Urban Cluster (2010)",54750
828,"Decorah, IA Urban Cluster (2010)",64028
829,"Deer Lodge, MT Urban Cluster (2010)",47583
830,"Deer Park, WA Urban Cluster (2010)",52370
831,"Deerwood, TX Urban Cluster (2010)",53065
832,"Defiance, OH Urban Cluster (2010)",50123
833,"De Funiak Springs, FL Urban Cluster (2010)",36161
834,"DeKalb, IL Urbanized Area (2010)",55040
835,"Delano, CA Urbanized Area (2010)",43948
836,"Delano, MN Urban Cluster (2010)",89800
837,"Delavan, WI Urban Cluster (2010)",59535
838,"Delhi, LA Urban Cluster (2010)",26162
839,"Delhi, NY Urban Cluster (2010)",47583
840,"Dell Rapids, SD Urban Cluster (2010)",70921
841,"Delphi, IN Urban Cluster (2010)",45526
842,"Delphos, OH Urban Cluster (2010)",50482
843,"Del Rio, TX Urban Cluster (2010)",45968
844,"Delta, CO Urban Cluster (2010)",39370
845,"Delta, OH Urban Cluster (2010)",62132
846,"Delta, UT Urban Cluster (2010)",57206
847,"Deltona, FL Urbanized Area (2010)",51245
848,"Deming, NM Urban Cluster (2010)",26903
849,"Demopolis, AL Urban Cluster (2010)",26404
850,"De Motte, IN Urban Cluster (2010)",56382
851,"Denison, IA Urban Cluster (2010)",53738
852,"Denmark, SC Urban Cluster (2010)",24269
853,"Denton, MD Urban Cluster (2010)",51331
854,"Denton&Lewisville, TX Urbanized Area (2010)",82799
855,"Denton Southwest, TX Urban Cluster (2010)",90893
856,"Denver&Aurora, CO Urbanized Area (2010)",77533
857,"Denver City, TX Urban Cluster (2010)",70931
858,"De Queen, AR Urban Cluster (2010)",38731
859,"DeQuincy, LA Urban Cluster (2010)",46982
860,"DeRidder, LA Urban Cluster (2010)",46583
861,"Dermott, AR Urban Cluster (2010)",26316
862,"Desert Hot Springs, CA Urban Cluster (2010)",34317
863,"Des Moines, IA Urbanized Area (2010)",68772
864,"De Soto, KS Urban Cluster (2010)",55026
865,"De Soto, MO Urban Cluster (2010)",43976
866,"Detroit, MI Urbanized Area (2010)",59355
867,"Detroit Lakes, MN Urban Cluster (2010)",45463
868,"Devils Lake, ND Urban Cluster (2010)",47353
869,"Devine, TX Urban Cluster (2010)",53147
870,"DeWitt, AR Urban Cluster (2010)",35923
871,"De Witt, IA Urban Cluster (2010)",53800
872,"Dexter, MO Urban Cluster (2010)",37316
873,"Diamondhead, MS Urban Cluster (2010)",64764
874,"Diboll, TX Urban Cluster (2010)",31865
875,"Dickinson, ND Urban Cluster (2010)",67909
876,"Dickson, TN Urban Cluster (2010)",48704
877,"Dilley, TX Urban Cluster (2010)",39045
878,"Dillon, MT Urban Cluster (2010)",35194
879,"Dillon, SC Urban Cluster (2010)",38577
880,"Dimmitt, TX Urban Cluster (2010)",43233
881,"Discovery Bay, CA Urban Cluster (2010)",127917
882,"Dixon, CA Urban Cluster (2010)",83224
883,"Dixon, IL Urban Cluster (2010)",49648
884,"Dodge Center, MN Urban Cluster (2010)",58071
885,"Dodge City, KS Urban Cluster (2010)",49605
886,"Dodgeville, WI Urban Cluster (2010)",59613
887,"Donaldsonville, LA Urban Cluster (2010)",32349
888,"Donalsonville, GA Urban Cluster (2010)",30331
889,"Dorr, MI Urban Cluster (2010)",67404
890,"Dos Palos, CA Urban Cluster (2010)",47537
891,"Dothan, AL Urbanized Area (2010)",44847
892,"Douglas, AZ Urban Cluster (2010)",34709
893,"Douglas, GA Urban Cluster (2010)",34546
894,"Douglas, MI Urban Cluster (2010)",62083
895,"Douglas, WY Urban Cluster (2010)",61296
896,"Dover, DE Urbanized Area (2010)",60904
897,"Dover&Rochester, NH&ME Urbanized Area (2010)",65799
898,"Dowagiac, MI Urban Cluster (2010)",34196
899,"Downs, IL Urban Cluster (2010)",111806
900,"Dryden, NY Urban Cluster (2010)",58184
901,"Dublin, GA Urban Cluster (2010)",34820
902,"Dublin, TX Urban Cluster (2010)",43922
903,"DuBois, PA Urban Cluster (2010)",46331
904,"Dubuque, IA&IL Urbanized Area (2010)",57700
905,"Duluth, MN&WI Urbanized Area (2010)",51341
906,"Dumas, AR Urban Cluster (2010)",31655
907,"Dumas, TX Urban Cluster (2010)",57151
908,"Duncan, OK Urban Cluster (2010)",42209
909,"Dundee, MI Urban Cluster (2010)",52483
910,"Dunkirk, IN Urban Cluster (2010)",38281
911,"Dunkirk&Fredonia, NY Urban Cluster (2010)",41894
912,"Dunlap, TN Urban Cluster (2010)",48764
913,"Dunn, NC Urban Cluster (2010)",33191
914,"Du Quoin, IL Urban Cluster (2010)",38693
915,"Durand, MI Urban Cluster (2010)",42969
916,"Durango, CO Urban Cluster (2010)",66132
917,"Durant, MS Urban Cluster (2010)",19399
918,"Durant, OK Urban Cluster (2010)",39186
919,"Durham, NC Urbanized Area (2010)",60714
920,"Dwight, IL Urban Cluster (2010)",50139
921,"Dyer, TN Urban Cluster (2010)",33750
922,"Dyersburg, TN Urban Cluster (2010)",39073
923,"Dyersville, IA Urban Cluster (2010)",58239
924,"Eagar, AZ Urban Cluster (2010)",55014
925,"Eagle, CO Urban Cluster (2010)",93967
926,"Eagle Grove, IA Urban Cluster (2010)",50556
927,"Eagle Lake, TX Urban Cluster (2010)",43950
928,"Eagle Mountain South, UT Urban Cluster (2010)",71647
929,"Eagle Pass, TX Urban Cluster (2010)",39476
930,"Earlimart, CA Urban Cluster (2010)",31632
931,"East Aurora, NY Urban Cluster (2010)",72795
932,"Eastland, TX Urban Cluster (2010)",35278
933,"East Liverpool, OH&WV&PA Urban Cluster (2010)",39832
934,"Eastman, GA Urban Cluster (2010)",40208
935,"Easton, MD Urban Cluster (2010)",61909
936,"East Palestine, OH Urban Cluster (2010)",52133
937,"East Prairie, MO Urban Cluster (2010)",28088
938,"East Prospect, PA Urban Cluster (2010)",54334
939,"East Quincy, CA Urban Cluster (2010)",52643
940,"East Stroudsburg, PA&NJ Urbanized Area (2010)",61216
941,"East Tawas, MI Urban Cluster (2010)",43617
942,"East Troy, WI Urban Cluster (2010)",68897
943,"Eaton, CO Urban Cluster (2010)",80909
944,"Eaton, OH Urban Cluster (2010)",45636
945,"Eaton Rapids, MI Urban Cluster (2010)",42781
946,"Eatonton, GA Urban Cluster (2010)",30469
947,"Eatonville, WA Urban Cluster (2010)",65742
948,"Eau Claire, WI Urbanized Area (2010)",56499
949,"Ebensburg, PA Urban Cluster (2010)",51940
950,"Eden, NC Urban Cluster (2010)",36867
951,"Edenton, NC Urban Cluster (2010)",33963
952,"Edgefield, SC Urban Cluster (2010)",30545
953,"Edgerton, WI Urban Cluster (2010)",66209
954,"Edgewood, NM Urban Cluster (2010)",63661
955,"Edinboro, PA Urban Cluster (2010)",47175
956,"Edna, TX Urban Cluster (2010)",51696
957,"Edwards, CO Urban Cluster (2010)",75401
958,"Effingham, IL Urban Cluster (2010)",50365
959,"Eielson AFB, AK Urban Cluster (2010)",72368
960,"Elberton, GA Urban Cluster (2010)",32500
961,"El Campo, TX Urban Cluster (2010)",50285
962,"El Centro&Calexico, CA Urbanized Area (2010)",52587
963,"Eldon, MO Urban Cluster (2010)",38052
964,"El Dorado, AR Urban Cluster (2010)",41789
965,"Eldorado, IL Urban Cluster (2010)",38922
966,"El Dorado, KS Urban Cluster (2010)",43758
967,"Eldorado at Santa Fe, NM Urban Cluster (2010)",83352
968,"El Dorado Springs, MO Urban Cluster (2010)",31653
969,"Electra, TX Urban Cluster (2010)",30504
970,"Elgin, TX Urban Cluster (2010)",63243
971,"Elizabeth City, NC Urban Cluster (2010)",42543
972,"Elizabethtown, NC Urban Cluster (2010)",17593
973,"Elizabethtown&Radcliff, KY Urbanized Area (2010)",50309
974,"Elk City, OK Urban Cluster (2010)",43411
975,"Elkhart, IN&MI Urbanized Area (2010)",51587
976,"Elkhorn, WI Urban Cluster (2010)",61336
977,"Elkin, NC Urban Cluster (2010)",39288
978,"Elkins, WV Urban Cluster (2010)",38674
979,"Elko, NV Urban Cluster (2010)",80673
980,"Elko New Market, MN Urban Cluster (2010)",124405
981,"Elkton, VA Urban Cluster (2010)",55066
982,"Ellensburg, WA Urban Cluster (2010)",42994
983,"Ellenville, NY Urban Cluster (2010)",44633
984,"Ellijay, GA Urban Cluster (2010)",52455
985,"Ellsworth, KS Urban Cluster (2010)",52153
986,"Ellsworth, ME Urban Cluster (2010)",45774
987,"Ellsworth, WI Urban Cluster (2010)",62625
988,"Ellwood City, PA Urban Cluster (2010)",49358
989,"Elmira, NY Urbanized Area (2010)",51279
990,"Elmwood, IL Urban Cluster (2010)",60476
991,"Eloy, AZ Urban Cluster (2010)",31250
992,"El Paso, IL Urban Cluster (2010)",57212
993,"El Paso, TX&NM Urbanized Area (2010)",44950
994,"El Paso de Robles (Paso Robles)&Atascadero, CA Urbanized Area (2010)",71948
995,"El Reno, OK Urban Cluster (2010)",45399
996,"Elroy, TX Urban Cluster (2010)",69575
997,"Elverson, PA Urban Cluster (2010)",75425
998,"Elwood, IN Urban Cluster (2010)",43400
999,"Ely, MN Urban Cluster (2010)",41098
1000,"Ely, NV Urban Cluster (2010)",60380
1001,"Emajagua, PR Urban Cluster (2010)",22170
1002,"Emerald Bay, TX Urban Cluster (2010)",61071
1003,"Emmetsburg, IA Urban Cluster (2010)",49688
1004,"Emmett, ID Urban Cluster (2010)",37993
1005,"Emmitsburg, MD&PA Urban Cluster (2010)",81327
1006,"Emporia, KS Urban Cluster (2010)",40514
1007,"Emporia, VA Urban Cluster (2010)",31774
1008,"Emporium, PA Urban Cluster (2010)",35754
1009,"Enfield, NC Urban Cluster (2010)",21262
1010,"England, AR Urban Cluster (2010)",39148
1011,"Enid, OK Urban Cluster (2010)",52116
1012,"Ennis, TX Urban Cluster (2010)",55569
1013,"Enterprise, AL Urban Cluster (2010)",57267
1014,"Ephraim, UT Urban Cluster (2010)",41670
1015,"Ephrata, WA Urban Cluster (2010)",60478
1016,"Epping, NH Urban Cluster (2010)",66454
1017,"Erie, PA Urbanized Area (2010)",48056
1018,"Erwin, TN Urban Cluster (2010)",36989
1019,"Escalon, CA Urban Cluster (2010)",77599
1020,"Escanaba, MI Urban Cluster (2010)",41927
1021,"Espanola, NM Urban Cluster (2010)",38378
1022,"Esparto, CA Urban Cluster (2010)",76597
1023,"Estacada, OR Urban Cluster (2010)",64375
1024,"Estes Park, CO Urban Cluster (2010)",65366
1025,"Estherville, IA Urban Cluster (2010)",46736
1026,"Estrella, AZ Urban Cluster (2010)",88537
1027,"Etowah, TN Urban Cluster (2010)",35033
1028,"Eudora, KS Urban Cluster (2010)",88088
1029,"Eufaula, AL&GA Urban Cluster (2010)",28614
1030,"Eugene, OR Urbanized Area (2010)",51077
1031,"Eunice, LA Urban Cluster (2010)",38994
1032,"Eunice, NM Urban Cluster (2010)",63138
1033,"Eureka, CA Urban Cluster (2010)",47793
1034,"Eureka, IL Urban Cluster (2010)",58740
1035,"Eureka, KS Urban Cluster (2010)",33814
1036,"Eureka, MO Urban Cluster (2010)",111904
1037,"Evanston, WY Urban Cluster (2010)",56848
1038,"Evansville, IN&KY Urbanized Area (2010)",50054
1039,"Evansville, WI Urban Cluster (2010)",67279
1040,"Evarts, KY Urban Cluster (2010)",30264
1041,"Everett, PA Urban Cluster (2010)",38449
1042,"Evergreen, AL Urban Cluster (2010)",32591
1043,"Evergreen, CO Urban Cluster (2010)",121786
1044,"Everson, WA Urban Cluster (2010)",58320
1045,"Excelsior Springs, MO Urban Cluster (2010)",47958
1046,"Fabens, TX Urban Cluster (2010)",28221
1047,"Fairbanks, AK Urbanized Area (2010)",75607
1048,"Fairbury, IL Urban Cluster (2010)",54143
1049,"Fairbury, NE Urban Cluster (2010)",37594
1050,"Fairdale, PA Urban Cluster (2010)",45097
1051,"Fairfield, CA Urbanized Area (2010)",83858
1052,"Fairfield, IL Urban Cluster (2010)",39349
1053,"Fairfield, IA Urban Cluster (2010)",40053
1054,"Fairfield, TX Urban Cluster (2010)",46393
1055,"Fairfield Glade, TN Urban Cluster (2010)",51711
1056,"Fairfield Harbour, NC Urban Cluster (2010)",65588
1057,"Fair Haven, VT Urban Cluster (2010)",39271
1058,"Fairmont, MN Urban Cluster (2010)",46493
1059,"Fairmont, NC Urban Cluster (2010)",22865
1060,"Fairmont, WV Urban Cluster (2010)",49323
1061,"Fairmount, IN Urban Cluster (2010)",44896
